GEO_ID,NAME,DP02_0124E,DP02_0059E,DP02_0061E,DP02_0064E,DP02_0065E,DP02_0068E,DP02_0066E,DP02_0062E,DP02_0067E,DP02_0060E,DP02_0063E,DP02_0001E,DP02_0017E,DP02_0016E,DP02_0004E,DP02_0010E,DP02_0015E,DP02_0006E,DP02_0002E,DP02_0081E,DP02_0087E,DP02_0082E,DP02_0084E,DP02_0086E,DP02_0085E,DP02_0083E,DP02_0080E,DP02_0059PE,DP02_0061PE,DP02_0064PE,DP02_0065PE,DP02_0068PE,DP02_0066PE,DP02_0062PE,DP02_0067PE,DP02_0060PE,DP02_0063PE,DP02_0004PE,DP02_0010PE,DP02_0015PE,DP02_0006PE,DP02_0002PE,DP02_0079PE,DP02_0081PE,DP02_0087PE,DP02_0082PE,DP02_0084PE,DP02_0086PE,DP02_0085PE,DP02_0083PE,DP02_0080PE
1400000US19129040201,Census Tract 402.01; Mills County; Iowa,1896,1248,52,176,247,338,91,384,1163,33,265,676,3.3,2.8,35,162,221,66,413,234,0,234,138,58,80,96,1650,1248,4.2,14.1,19.8,27.1,7.3,30.8,93.2,2.6,21.2,5.2,24,32.7,9.8,61.1,1884,12.4,0,12.4,7.3,3.1,4.2,5.1,87.6
1400000US19129040202,Census Tract 402.02; Mills County; Iowa,3601,2397,52,293,669,1094,425,495,2330,15,448,1152,3.39,3.13,28,129,383,114,881,321,0,321,278,182,96,43,3236,2397,2.2,12.2,27.9,45.6,17.7,20.7,97.2,0.6,18.7,2.4,11.2,33.2,9.9,76.5,3557,9,0,9,7.8,5.1,2.7,1.2,91
1400000US19129040301,Census Tract 403.01; Mills County; Iowa,2183,1515,61,155,293,381,88,396,1453,1,521,882,3.23,2.47,44,247,340,192,399,325,0,325,194,39,155,131,1858,1515,4,10.2,19.3,25.1,5.8,26.1,95.9,0.1,34.4,5,28,38.5,21.8,45.2,2183,14.9,0,14.9,8.9,1.8,7.1,6,85.1
1400000US19129040302,Census Tract 403.02; Mills County; Iowa,3996,2899,52,272,518,778,260,1048,2815,32,717,1475,3.23,2.44,89,411,522,261,714,807,0,807,561,499,62,246,3172,2899,1.8,9.4,17.9,26.8,9,36.2,97.1,1.1,24.7,6,27.9,35.4,17.7,48.4,3979,20.3,0,20.3,14.1,12.5,1.6,6.2,79.7
1400000US19131560100,Census Tract 5601; Mitchell County; Iowa,3175,1983,99,276,324,393,69,720,1738,146,349,1202,3.12,2.6,53,153,442,266,730,305,0,305,129,25,104,176,2832,1983,5,13.9,16.3,19.8,3.5,36.3,87.6,7.4,17.6,4.4,12.7,36.8,22.1,60.7,3137,9.7,0,9.7,4.1,0.8,3.3,5.6,90.3
1400000US19131560200,Census Tract 5602; Mitchell County; Iowa,3632,2460,95,433,407,580,173,804,2319,46,502,1464,2.87,2.46,60,201,350,247,956,237,37,200,49,33,16,151,3346,2460,3.9,17.6,16.5,23.6,7,32.7,94.3,1.9,20.4,4.1,13.7,23.9,16.9,65.3,3583,6.6,1,5.6,1.4,0.9,0.4,4.2,93.4
1400000US19131560300,Census Tract 5603; Mitchell County; Iowa,3730,2797,110,460,409,579,170,1051,2622,65,532,1839,2.59,1.96,92,609,636,313,825,506,42,464,117,42,75,347,3192,2797,3.9,16.4,14.6,20.7,6.1,37.6,93.7,2.3,19,5,33.1,34.6,17,44.9,3698,13.7,1.1,12.5,3.2,1.1,2,9.4,86.3
1400000US19133960100,Census Tract 9601; Monona County; Iowa,2006,1435,67,163,142,237,95,584,1325,43,341,948,2.72,2.06,79,272,346,144,453,125,0,125,67,6,61,58,1850,1435,4.7,11.4,9.9,16.5,6.6,40.7,92.3,3,23.8,8.3,28.7,36.5,15.2,47.8,1975,6.3,0,6.3,3.4,0.3,3.1,2.9,93.7
1400000US19133960200,Census Tract 9602; Monona County; Iowa,1962,1494,80,158,260,360,100,519,1402,12,365,844,2.66,2.24,76,143,357,135,490,162,1,161,57,21,36,104,1786,1494,5.4,10.6,17.4,24.1,6.7,34.7,93.8,0.8,24.4,9,16.9,42.3,16,58.1,1948,8.3,0.1,8.3,2.9,1.1,1.8,5.3,91.7
1400000US19133960300,Census Tract 9603; Monona County; Iowa,2876,1967,123,195,139,183,44,830,1800,44,592,1232,2.88,2.27,88,383,455,291,470,324,0,324,246,81,165,78,2522,1967,6.3,9.9,7.1,9.3,2.2,42.2,91.5,2.2,30.1,7.1,31.1,36.9,23.6,38.1,2846,11.4,0,11.4,8.6,2.8,5.8,2.7,88.6
